objid,specobjid,class,ra,dec,redshift,u_g,g_r,r_i,i_z
1237648720718005408,4512705872531838976,GALAXY,235.171473598693,-0.447330729443,0.5171043,1.642181,1.688711,1.122227,0.3801079
1237648721247076417,4531887677411448832,GALAXY,217.34778164682,-0.096646036851374,0.4532754,2.154959,1.642881,0.8002911,0.4347916
1237648721247077027,4531887127655634944,GALAXY,217.27834637326,-0.0338456948888255,0.5152826,1.169954,1.713108,0.9609509,0.3783703
1237648721247142121,4531888227167262720,GALAXY,217.450731184397,-0.0497551195496799,0.4407164,1.901331,1.822397,0.8781052,0.633749
1237648721247142546,4531888776923076608,GALAXY,217.427885302036,-0.0979253500708952,0.452367,2.756124,1.728657,0.9221954,0.4677067
1237648721247207652,4531891525702146048,GALAXY,217.597458920868,-0.0239382769862054,0.4922016,1.016129,1.74338,0.8788757,0.5424213
1237648721247207789,4531894274481215488,GALAXY,217.678773424669,-0.147115083283439,0.5810054,1.749769,2.005108,1.008791,0.639986
1237648721247207864,4531894549359122432,GALAXY,217.689564152406,-0.0211031199268365,0.2819574,2.197279,1.54882,0.5815697,0.3819561
1237648721247208597,4531894824237029376,GALAXY,217.675919575694,-0.180170373616855,0.7430815,2.869854,2.24461,1.331781,0.7185993
1237648721247273298,4531892625213773824,GALAXY,217.803148622603,-0.00152539098374882,0.538453,1.323086,1.404016,0.8276844,0.4198685
1237648721247273962,4531893724725401600,GALAXY,217.772014588899,-0.0624684254424691,0.675649,1.233847,1.879755,1.162373,0.5917492
1237648721247273974,4531893174969587712,GALAXY,217.788218832016,-0.0281812345480802,0.6762716,-0.02934265,1.800909,1.474798,0.3552322
1237648721247338749,4531906643987027968,GALAXY,217.909353238335,-0.174761449999273,0.09261288,1.973282,0.9767246,0.4380541,0.3697767
1237648721247339489,4531906369109121024,GALAXY,217.982737680317,-0.0596111359229065,0.5335396,1.069971,1.429722,0.9082699,0.6057777
1237648721764614459,4323532426729248768,GALAXY,173.233126437087,0.223857584804182,0.2296372,1.836102,1.515985,0.5640564,0.367363
1237648721764679992,4323530777461807104,GALAXY,173.367654081588,0.219590122572753,0.5266564,1.377335,1.76553,0.8466148,0.5334091
1237648721784078946,4531890426190518272,GALAXY,217.565551202995,0.310873941512622,0.5442549,1.338223,1.712801,1.062401,0.4658813
1237648721784079163,4531890975946332160,GALAXY,217.638313427538,0.278990977765378,0.4713139,4.335457,1.34087,0.8147259,0.4719982
1237648721784209859,4531901696184702976,GALAXY,217.859218260216,0.375369922858323,0.4048547,1.085463,1.752558,0.7388954,0.4659081
1237648721784209997,4531901971062609920,GALAXY,217.897705395588,0.352098348465012,0.6010911,3.394388,1.805576,1.119379,0.4578285
1237648721784210303,4531903070574237696,GALAXY,217.975008330251,0.253511560105974,0.5412585,1.25198,1.37961,0.8302097,0.4933586
1237648721784210355,4531902520818423808,GALAXY,217.990041937571,0.223645180455754,0.4705023,3.219538,1.336134,0.7444172,0.5192375
1237648722279269120,5390967732195055616,GALAXY,122.427725023314,0.655595606039724,0.1919022,1.996811,1.330006,0.5790768,0.3591118
1237648722279269440,5390966907561334784,GALAXY,122.41446485771,0.809151736017764,0.4730473,2.014839,1.61297,0.906065,0.4200535
1237648722279269682,5390967457317148672,GALAXY,122.482127767915,0.782505022642591,0.5396737,1.342049,1.788185,0.8412189,0.5063763
1237648722279269691,5390968007072962560,GALAXY,122.485535263339,0.673264186919035,0.4877938,1.62244,1.910074,0.9456654,0.4157734
1237648722289230091,299580387154225152,GALAXY,145.229933953974,0.762553006148654,0.04707855,2.029211,0.9757519,0.4682674,0.3554153
1237648722289295510,299582586177480704,GALAXY,145.2960464167,0.801618725975284,0.07932202,2.232077,1.093435,0.4991741,0.3794746
1237648722289295527,299582311299573760,GALAXY,145.320931652301,0.771110880884512,0.00658949,1.134687,0.4811764,0.2137928,0.1839809
1237648722289361065,299580936910039040,GALAXY,145.443109765936,0.826628242978956,0.0512595,2.079771,1.076067,0.5704288,0.4464779
1237648722289361169,299578188130969600,GALAXY,145.54117123462,0.795448151920092,0.09888644,1.216743,0.5981789,0.3292675,0.1668701
1237648722320949963,4531897023260284928,GALAXY,217.599459702444,0.704174916136633,0.6651527,2.000624,1.423145,1.255299,0.7447815
1237648722320950164,4531896473504471040,GALAXY,217.651343208954,0.808707997668313,0.6671032,1.790293,1.42906,1.258524,0.5848866
1237648722320950316,4531895923748657152,GALAXY,217.6974608893,0.836613076900175,0.5212833,0.9967518,1.703167,0.9657097,0.4545212
1237648722321015805,4531899497161447424,GALAXY,217.847955567913,0.674267282793685,0.3373234,5.035227,1.811176,0.6288242,0.3165836
1237648722321146049,4531908293254469632,GALAXY,218.055122355839,0.816572648296686,0.2187964,2.27351,1.410658,0.5383339,0.3896389
1237648720709615864,343478113730062336,GALAXY,215.911195646496,-0.540925910275256,0.1924511,2.086277,1.22456,0.5071487,0.3784695
1237648720709615957,343470692026574848,GALAXY,216.004499607046,-0.451978983758915,0.1498112,1.550032,0.9558678,0.4954262,0.3109093
1237648720709616204,343477014218434560,GALAXY,215.906967951902,-0.60920714213061,0.4847209,1.732601,1.782722,0.9771004,0.4763069
1237648721209131981,14102141124396472320,GALAXY,130.683763237396,-0.151093214575021,0.4256754,1.445549,1.648338,0.7374096,0.453104
1237648721209132048,14102141399274379264,GALAXY,130.700720416426,-0.13616753124042,0.4162185,1.21389,1.480099,0.7819138,0.2050362
1237648721209132110,14102140849518565376,GALAXY,130.711310258171,-0.164365841391309,0.4225512,4.632986,1.677822,0.7066936,0.3437443
1237648721209132140,14102142223908100096,GALAXY,130.716290590707,-0.200528155250628,0.2901793,0.7958603,1.488567,0.586483,0.2750969
1237648721209132208,14102142498786007040,GALAXY,130.732268954027,-0.158112031245814,0.4105153,2.330034,1.669111,0.6172028,0.3938694
1237648721209132516,14102140299762751488,GALAXY,130.723781692888,-0.131919347675694,0.4270674,2.608295,1.831181,0.7547016,0.1285267
1237648721209197276,14102151844634843136,GALAXY,130.744390595603,-0.135271014556357,0.376966,0.8981171,1.392944,0.536047,0.4004459
1237648721212408361,4302183758554224640,GALAXY,138.073612098505,-0.101645124552353,0.4413695,1.473219,1.77614,0.920084,0.3624783
1237648721212408514,4302183208798410752,GALAXY,138.141391288586,-0.132371521748187,0.4826545,0.5418377,1.745392,0.8206272,0.43297
1237648721212474275,4302172213682132992,GALAXY,138.221814333054,-0.206905536966976,0.6035913,0.1377125,1.231291,1.002892,0.4367313
1237648721212539491,4302172763437946880,GALAXY,138.383181761535,-0.189856391329853,0.4764406,0.8608608,1.868176,0.8410454,0.5077515
1237648721212539927,4302160393932134400,GALAXY,138.436088124586,-0.202023171054056,0.6506974,2.497416,1.311646,1.280016,0.2683086
1237648721212539992,4302161218565855232,GALAXY,138.491367024823,-0.159210783723215,0.5490984,2.280228,1.376974,1.289145,0.2025318
1237648721224597759,311894647171475456,GALAXY,166.048477321755,-0.165686289214965,0.08545451,1.414776,0.740839,0.4289932,0.2956953
