#Table1
u,g,r,i,z,class,z1,zerr
19.52627,18.63223,18.31057,18.19104,18.12161,STAR,-0.0007070402,1.67958E-05
16.35073,15.14633,14.89469,14.81151,14.80153,STAR,-0.0001001213,7.490242E-06
19.59374,18.92144,18.98625,18.89045,18.57761,QSO,2.558458,8.272134E-05
18.41784,17.03094,16.48108,16.28973,16.27279,STAR,2.852167E-05,8.639364E-06
18.4886,17.00161,16.2386,15.81132,15.4711,GALAXY,0.05055508,9.994774E-06
19.53555,18.60819,18.20294,18.03692,17.92821,STAR,-0.0004108924,1.880951E-05
18.3423,16.98781,16.59723,16.41287,16.44406,GALAXY,0.02021551,1.424965E-05
18.95261,17.74443,17.7322,17.76556,17.84587,STAR,-0.0003751133,9.703401E-06
19.31686,17.45073,16.51233,16.06293,15.69582,GALAXY,0.09827142,1.714689E-05
19.10112,17.81622,17.30789,16.97382,16.79796,GALAXY,0.05868861,1.341733E-05
19.55946,18.65338,18.25212,18.06583,18.01144,STAR,-0.0005898822,3.345011E-05
19.40746,18.44352,18.08594,17.9604,17.88449,STAR,-0.0007276599,3.3892E-05
19.48516,17.71242,16.93858,16.63148,16.47842,STAR,-0.0002042266,6.802205E-06
17.14782,15.85016,15.89852,15.97008,16.03314,STAR,-0.0003798561,3.380121E-06
18.41108,17.03542,16.0584,15.61348,15.24383,GALAXY,0.07481702,1.950246E-05
17.949,17.02989,16.67946,16.52995,16.47746,STAR,-0.00106204,1.327777E-05
18.06098,17.03537,16.74282,16.63263,16.59161,STAR,-0.0009448256,1.584221E-05
17.01062,15.85837,15.45666,15.29942,15.25769,STAR,-0.0001418023,1.052247E-05
18.60125,17.59844,17.25379,16.96948,16.82069,GALAXY,0.05003233,6.803527E-06
19.22838,18.11086,17.65121,17.32339,17.17504,GALAXY,0.08896255,6.628637E-06
18.33483,16.50601,15.72468,15.43481,15.26179,STAR,-0.0002176285,7.583351E-06
17.3591,17.50472,17.93585,18.16088,18.37432,STAR,-0.0002762821,1.963365E-05
18.21894,16.66016,16.11343,15.92045,15.82033,STAR,-0.0001888546,8.010557E-06
19.14851,17.58125,16.97765,16.75245,16.63835,STAR,-0.000403693,1.004967E-05
18.31669,17.33297,16.96385,16.82879,16.75756,STAR,7.41668E-05,1.402169E-05
19.3477,17.68254,17.00372,16.61389,16.35319,GALAXY,0.138342,1.137769E-05
19.48412,18.41856,17.86929,17.58423,17.33781,GALAXY,0.04028899,8.402011E-06
18.45533,16.76179,16.08968,15.82244,15.67583,STAR,-0.0003087487,8.789618E-06
18.33208,16.90765,16.2144,15.81609,15.59655,GALAXY,0.06605592,1.613144E-05
18.99391,17.79914,17.27258,17.04684,16.92827,STAR,-0.0004798114,1.44337E-05
